"","Commodities/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE","T007","MCIF","MADJ","T013","Trade","Trans","T014","MDTY","TOP","SUB","T015","T016"
"","Name","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises","Total Commodity Output","Imports","CIF/FOB Adjustments on Imports","Total product supply (basic prices)","Trade margins","Transport margins","Total trade and transportation margins","Import duties","Tax on products","Subsidies","Total tax less subsidies on products","Total product supply (purchaser prices)"
"315AL","Apparel and leather and allied products","---","---","---","---","---","---","---","---","---","---",0,"---","---","---","---","---",2,1104,67,1491,18120,"---",247,"---","---","---","---","---","---","---",378,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1247,"---",22656,108378,"---",131034,208345,7351,215697,15280,21638,-1162,35756,382487
"322","Paper products","---","---","---","---","---","---","---",180,94,1,1,1,5,36,"---","---",9,35,3958,6,"---",178583,1386,1,17,1332,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",603,"---",186249,22532,"---",208780,45527,13077,58604,660,3998,-1263,3395,270780
"323","Printing and related support activities","---","---","---","---","---","---","---","---","---","---",152,"---",6,"---","---","---",3,144,"---",25,"---",486,61379,"---",0,113,"---","---","---","---",27,"---","---","---","---","---","---","---","---",1200,"---","---","---","---","---","---","---","---","---","---","---","---",512,"---",3028,"---","---","---","---","---","---","---","---","---","---","---","---",3,"---",1625,"---",68703,2426,"---",71129,14533,3397,17930,125,1153,-3056,-1778,87281
"324","Petroleum and coal products","---","---",15947,112,1,"---","---","---",34,2087,30,3,"---",1,"---","---","---",45,"---","---","---","---","---",367462,1471,0,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",387193,38702,"---",425894,126443,29372,155814,129,108004,-580,107553,689261
"325","Chemical products","---","---",154,2173,"---","---","---",9,858,337,454,2324,956,220,143,24,423,1570,9716,2652,"---",2883,"---",13443,687640,1011,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",3,"---",100,"---",727092,285028,"---",1012120,503084,34538,537622,3047,30370,-4469,28948,1578690
"326","Plastics and rubber products","---","---","---","---","---","---","---",128,59,0,2315,480,199,17,2587,175,52,731,1,94,"---",1512,864,10,2615,227842,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",239682,57823,"---",297505,99360,6007,105367,3342,9528,-3202,9668,412540
"42","Wholesale trade","---","---",329,218,327,"---","---",1092,1417,845,4218,8592,3647,1855,2627,1198,1412,5882,6927,641,491,1450,783,2844,10918,3006,1754328,"---","---","---","---",8,"---","---","---",12,"---",89,"---",16219,9,4709,693,"---","---","---","---","---","---",391,"---",3721,"---","---","---","---","---","---","---","---","---","---","---","---","---",620,"---","---","---","---","---",1841516,"---","---",1841516,-1708234,"---",-1708234,"---",0,-34440,-34440,98841
"441","Motor vehicle and parts dealers","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",209177,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",66,"---","---","---","---","---","---","---","---","---","---","---","---",601,20,"---",2031,"---","---","---","---","---",211895,"---","---",211895,-192880,"---",-192880,"---",0,-19015,-19015,0
"445","Food and beverage stores","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",230294,"---","---","---","---","---","---","---","---",3,"---","---","---","---","---","---","---","---","---","---","---",197,"---","---","---","---","---","---","---","---","---","---","---","---","---",421,863,"---","---","---","---","---",5682,237459,"---","---",237459,-229883,"---",-229883,"---",0,-7577,-7577,0
"452","General merchandise stores","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",204450,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",449,"---","---","---","---","---","---","---",73,"---","---",471,"---",214,"---","---",3078,"---","---",208735,"---","---",208735,-205106,"---",-205106,"---",0,-3629,-3629,0
